Disease,Count of Disease Occurrence,Symptom,Rank of Symptom in Disease
UMLS:C0149871_deep vein thrombosis,310,UMLS:C0020649_hypotension,4
UMLS:C0149871_deep vein thrombosis,310,UMLS:C0009024_clonus,3
UMLS:C0149871_deep vein thrombosis,310,UMLS:C0850149_non-productive cough,2
UMLS:C0149871_deep vein thrombosis,310,UMLS:C0332575_redness,1
UMLS:C0011175_dehydration,297,UMLS:C0015967_fever,17
UMLS:C0011175_dehydration,297,UMLS:C0011991_diarrhea,16
UMLS:C0011175_dehydration,297,UMLS:C0042963_vomiting,15
UMLS:C0011175_dehydration,297,UMLS:C0020649_hypotension,14
UMLS:C0011175_dehydration,297,UMLS:C0027497_nausea,13
UMLS:C0011175_dehydration,297,UMLS:C0220870_lightheadedness,12
UMLS:C0011175_dehydration,297,UMLS:C0857256_unwell,11
UMLS:C0011175_dehydration,297,UMLS:C0856054_mental status changes,10
UMLS:C0011175_dehydration,297,UMLS:C0003123_anorexia,9
UMLS:C0011175_dehydration,297,UMLS:C0004093_asthenia,8
UMLS:C0011175_dehydration,297,UMLS:C0234215_sensory discomfort,7
UMLS:C0011175_dehydration,297,UMLS:C0039070_syncope,6
UMLS:C0011175_dehydration,297,UMLS:C0023380_lethargy,5
UMLS:C0011175_dehydration,297,UMLS:C0012833_dizziness,4
UMLS:C0011175_dehydration,297,UMLS:C0039070_syncope,3
UMLS:C0011175_dehydration,297,UMLS:C0312422_blackout,2
UMLS:C0011175_dehydration,297,UMLS:C0424533_history of - blackout,1
UMLS:C0027651_neoplasm,297,UMLS:C0577559_mass of body structure,16
UMLS:C0027651_neoplasm,297,UMLS:C0221198_lesion,15
UMLS:C0027651_neoplasm,297,UMLS:C0008031_pain chest,14
UMLS:C0027651_neoplasm,297,UMLS:C0018965_hematuria,13
UMLS:C0027651_neoplasm,297,UMLS:C1269955_tumor cell invasion,12
UMLS:C0027651_neoplasm,297,UMLS:C0030193_pain,11
UMLS:C0027651_neoplasm,297,UMLS:C0003126_anosmia,10
UMLS:C0027651_neoplasm,297,UMLS:C0205400_thicken,9
UMLS:C0027651_neoplasm,297,UMLS:C1513183_metastatic lesion,8
UMLS:C0027651_neoplasm,297,UMLS:C0149696_food intolerance,7
UMLS:C0027651_neoplasm,297,UMLS:C0043096_decreased body weight,6
UMLS:C0027651_neoplasm,297,UMLS:C0028081_night sweat,5
UMLS:C0027651_neoplasm,297,UMLS:C0271202_hemianopsia homonymous,4
UMLS:C0027651_neoplasm,297,UMLS:C0239233_satiety early,3
UMLS:C0027651_neoplasm,297,UMLS:C0000737_pain abdominal,2
UMLS:C0027651_neoplasm,297,UMLS:C0018681_headache,1
UMLS:C0034065_embolism pulmonary,294,UMLS:C0392680_shortness of breath,16
UMLS:C0034065_embolism pulmonary,294,UMLS:C0700292_hypoxemia,15
UMLS:C0034065_embolism pulmonary,294,UMLS:C0231835_tachypnea,14
UMLS:C0034065_embolism pulmonary,294,UMLS:C0744727_hematocrit decreased,13
UMLS:C0034065_embolism pulmonary,294,UMLS:C0008031_pain chest,12
UMLS:C0034065_embolism pulmonary,294,UMLS:C0013404_dyspnea,11
UMLS:C0034065_embolism pulmonary,294,UMLS:C0008033_pleuritic pain,10
UMLS:C0034065_embolism pulmonary,294,UMLS:C0151315_neck stiffness,9
UMLS:C0034065_embolism pulmonary,294,UMLS:C0457096_yellow sputum,8
UMLS:C0034065_embolism pulmonary,294,UMLS:C0239134_productive cough,7
UMLS:C0034065_embolism pulmonary,294,UMLS:C0008767_cicatrisation,6
UMLS:C0034065_embolism pulmonary,294,UMLS:C0241526_unresponsiveness,5
UMLS:C0034065_embolism pulmonary,294,UMLS:C0476273_distress respiratory,4
UMLS:C0034065_embolism pulmonary,294,UMLS:C0043144_wheezing,3
UMLS:C0034065_embolism pulmonary,294,UMLS:C0277797_apyrexial,2
UMLS:C0034065_embolism pulmonary,294,UMLS:C0850149_non-productive cough,1
UMLS:C0014544_epilepsy,290,UMLS:C0036572_seizure,13
UMLS:C0014544_epilepsy,290,UMLS:C0347938_hypometabolism,12
UMLS:C0014544_epilepsy,290,UMLS:C0236018_aura,11
UMLS:C0014544_epilepsy,290,UMLS:C0231530_muscle twitch,10
UMLS:C0014544_epilepsy,290,UMLS:C0013144_drowsiness,9
UMLS:C0014544_epilepsy,290,UMLS:C0040822_tremor,8
UMLS:C0014544_epilepsy,290,UMLS:C0241526_unresponsiveness,7
UMLS:C0014544_epilepsy,290,UMLS:C0018991_hemiplegia,6
UMLS:C0014544_epilepsy,290,UMLS:C0027066_myoclonus,5
UMLS:C0014544_epilepsy,290,UMLS:C0232517_gurgle,4
UMLS:C0014544_epilepsy,290,UMLS:C0234450_sleepy,3
UMLS:C0014544_epilepsy,290,UMLS:C0023380_lethargy,2
UMLS:C0014544_epilepsy,290,UMLS:C0558195_wheelchair bound,1
UMLS:C0878544_cardiomyopathy,283,UMLS:C0392680_shortness of breath,15
UMLS:C0878544_cardiomyopathy,283,UMLS:C0085619_orthopnea,14
UMLS:C0878544_cardiomyopathy,283,UMLS:C0086439_hypokinesia,13
UMLS:C0878544_cardiomyopathy,283,UMLS:C0240100_jugular venous distention,12
UMLS:C0878544_cardiomyopathy,283,UMLS:C0030252_palpitation,11
UMLS:C0878544_cardiomyopathy,283,UMLS:C0008031_pain chest,10
UMLS:C0878544_cardiomyopathy,283,UMLS:C0039070_syncope,9
UMLS:C0878544_cardiomyopathy,283,UMLS:C0457096_yellow sputum,8
UMLS:C0878544_cardiomyopathy,283,UMLS:C0034642_rale,7
UMLS:C0878544_cardiomyopathy,283,UMLS:C0013404_dyspnea,6
UMLS:C0878544_cardiomyopathy,283,UMLS:C0231807_dyspnea on exertion,5
UMLS:C0878544_cardiomyopathy,283,UMLS:C0238705_left atrial hypertrophy,4
UMLS:C0878544_cardiomyopathy,283,UMLS:C0015672_fatigue,3
UMLS:C0878544_cardiomyopathy,283,UMLS:C0043094_weight gain,2
UMLS:C0878544_cardiomyopathy,283,UMLS:C0376405_patient non compliance,1
UMLS:C0022661_chronic kidney failure,280,UMLS:C0042963_vomiting,1
UMLS:C0022661_chronic kidney failure,280,UMLS:C0085619_orthopnea,21
UMLS:C0022661_chronic kidney failure,280,UMLS:C0020461_hyperkalemia,20
UMLS:C0022661_chronic kidney failure,280,UMLS:C0028961_oliguria,19
UMLS:C0022661_chronic kidney failure,280,UMLS:C0240100_jugular venous distention,18
UMLS:C0022661_chronic kidney failure,280,UMLS:C0027497_nausea,17
UMLS:C0022661_chronic kidney failure,280,UMLS:C0392680_shortness of breath,16
UMLS:C0022661_chronic kidney failure,280,UMLS:C0856054_mental status changes,15
UMLS:C0022661_chronic kidney failure,280,UMLS:C0011991_diarrhea,14
UMLS:C0022661_chronic kidney failure,280,UMLS:C0004093_asthenia,13
UMLS:C0022661_chronic kidney failure,280,UMLS:C0232292_chest tightness,12
UMLS:C0022661_chronic kidney failure,280,UMLS:C0231218_malaise,11
UMLS:C0022661_chronic kidney failure,280,UMLS:C0085593_chill,10
UMLS:C0022661_chronic kidney failure,280,UMLS:C0034642_rale,9
UMLS:C0022661_chronic kidney failure,280,UMLS:C0015967_fever,8
UMLS:C0022661_chronic kidney failure,280,UMLS:C0008033_pleuritic pain,7
UMLS:C0022661_chronic kidney failure,280,UMLS:C0277797_apyrexial,6
UMLS:C0022661_chronic kidney failure,280,UMLS:C0744492_guaiac positive,5
UMLS:C0022661_chronic kidney failure,280,UMLS:C0038999_swelling,4
UMLS:C0022661_chronic kidney failure,280,UMLS:C0007398_catatonia,3
UMLS:C0022661_chronic kidney failure,280,UMLS:C0241526_unresponsiveness,2
UMLS:C0022661_chronic kidney failure,280,UMLS:C0457096_yellow sputum,1
UMLS:C0007097_carcinoma,269,UMLS:C0577559_mass of body structure,19
UMLS:C0007097_carcinoma,269,UMLS:C0030193_pain,18
UMLS:C0007097_carcinoma,269,UMLS:C0221198_lesion,17
UMLS:C0007097_carcinoma,269,UMLS:C1269955_tumor cell invasion,16
UMLS:C0007097_carcinoma,269,UMLS:C0205400_thicken,15
UMLS:C0007097_carcinoma,269,UMLS:C0043096_decreased body weight,14
UMLS:C0007097_carcinoma,269,UMLS:C0019825_hoarseness,13
UMLS:C0007097_carcinoma,269,UMLS:C0858924_general discomfort,12
UMLS:C0007097_carcinoma,269,UMLS:C1513183_metastatic lesion,11
UMLS:C0007097_carcinoma,269,UMLS:C0850149_non-productive cough,10
UMLS:C0007097_carcinoma,269,UMLS:C0009806_constipation,9
UMLS:C0007097_carcinoma,269,UMLS:C0847488_unhappy,8
UMLS:C0007097_carcinoma,269,UMLS:C0030554_paresthesia,7
UMLS:C0007097_carcinoma,269,UMLS:C0232995_gravida 0,6
UMLS:C0007097_carcinoma,269,UMLS:C0011991_diarrhea,5
UMLS:C0007097_carcinoma,269,UMLS:C0234233_sore to touch,4
UMLS:C0007097_carcinoma,269,UMLS:C0018834_heartburn,3
UMLS:C0007097_carcinoma,269,UMLS:C0027497_nausea,2
UMLS:C0007097_carcinoma,269,UMLS:C0034079_lung nodule,1
UMLS:C0019196_hepatitis C,269,UMLS:C0003962_ascites,11
UMLS:C0019196_hepatitis C,269,UMLS:C0000731_distended abdomen,10
UMLS:C0019196_hepatitis C,269,UMLS:C0424000_feeling suicidal,9
UMLS:C0019196_hepatitis C,269,UMLS:C0010200_cough,8
UMLS:C0019196_hepatitis C,269,UMLS:C0234238_ache,7
UMLS:C0019196_hepatitis C,269,UMLS:C0558143_macerated skin,6
UMLS:C0019196_hepatitis C,269,UMLS:C0581912_heavy feeling,5
UMLS:C0019196_hepatitis C,269,UMLS:C0233762_hallucinations auditory,4
UMLS:C0019196_hepatitis C,269,UMLS:C0085593_chill,3
UMLS:C0019196_hepatitis C,269,UMLS:C0232766_asterixis,2
UMLS:C0019196_hepatitis C,269,UMLS:C0376405_patient non compliance,1
UMLS:C0085096_peripheral vascular disease,268,UMLS:C0392680_shortness of breath,11
UMLS:C0085096_peripheral vascular disease,268,UMLS:C0234253_rest pain,10
UMLS:C0085096_peripheral vascular disease,268,UMLS:C0002962_angina pectoris,9
UMLS:C0085096_peripheral vascular disease,268,UMLS:C0241526_unresponsiveness,8
UMLS:C0085096_peripheral vascular disease,268,UMLS:C0020461_hyperkalemia,7
UMLS:C0085096_peripheral vascular disease,268,UMLS:C0232201_sinus rhythm,6
UMLS:C0085096_peripheral vascular disease,268,UMLS:C0553668_labored breathing,5
UMLS:C0085096_peripheral vascular disease,268,UMLS:C0013404_dyspnea,4
UMLS:C0085096_peripheral vascular disease,268,UMLS:C0234233_sore to touch,3
UMLS:C0085096_peripheral vascular disease,268,UMLS:C0003123_anorexia,2
UMLS:C0085096_peripheral vascular disease,268,UMLS:C0234450_sleepy,1
UMLS:C0033975_psychotic disorder,267,UMLS:C0438696_suicidal,25
UMLS:C0033975_psychotic disorder,267,UMLS:C0233762_hallucinations auditory,24
UMLS:C0033975_psychotic disorder,267,UMLS:C0424000_feeling suicidal,23
UMLS:C0033975_psychotic disorder,267,UMLS:C0233763_hallucinations visual,22
UMLS:C0033975_psychotic disorder,267,UMLS:C0424230_motor retardation,21
UMLS:C0033975_psychotic disorder,267,UMLS:C0312422_blackout,20
UMLS:C0033975_psychotic disorder,267,UMLS:C0424068_verbal auditory hallucinations,19
UMLS:C0033975_psychotic disorder,267,UMLS:C0150041_feeling hopeless,18
UMLS:C0033975_psychotic disorder,267,UMLS:C0022107_irritable mood,17
UMLS:C0033975_psychotic disorder,267,UMLS:C0085631_agitation,16
UMLS:C0033975_psychotic disorder,267,UMLS:C0040822_tremor,15
UMLS:C0033975_psychotic disorder,267,UMLS:C0007398_catatonia,14
UMLS:C0033975_psychotic disorder,267,UMLS:C0424109_weepiness,13
UMLS:C0033975_psychotic disorder,267,UMLS:C0237154_homelessness,12
UMLS:C0033975_psychotic disorder,267,UMLS:C0917801_sleeplessness,11
UMLS:C0033975_psychotic disorder,267,UMLS:C0424092_withdraw,10
UMLS:C0033975_psychotic disorder,267,UMLS:C0455769_energy increased,9
UMLS:C0033975_psychotic disorder,267,UMLS:C0728899_intoxication,8
UMLS:C0033975_psychotic disorder,267,UMLS:C0233481_worry,7
UMLS:C0033975_psychotic disorder,267,UMLS:C0424295_behavior hyperactive,6
UMLS:C0033975_psychotic disorder,267,UMLS:C0376405_patient non compliance,5
UMLS:C0033975_psychotic disorder,267,UMLS:C0344315_mood depressed,4
UMLS:C0033975_psychotic disorder,267,UMLS:C0558261_terrify,3
UMLS:C0033975_psychotic disorder,267,UMLS:C0028084_nightmare,2
UMLS:C0033975_psychotic disorder,267,UMLS:C0239110_consciousness clear,1
UMLS:C0020473_hyperlipidemia,247,UMLS:C0008031_pain chest,12
UMLS:C0020473_hyperlipidemia,247,UMLS:C0002962_angina pectoris,11
UMLS:C0020473_hyperlipidemia,247,UMLS:C0030252_palpitation,10
UMLS:C0020473_hyperlipidemia,247,UMLS:C1305739_presence of q wave,9
UMLS:C0020473_hyperlipidemia,247,UMLS:C0085635_photopsia,8
UMLS:C0020473_hyperlipidemia,247,UMLS:C0700590_sweating increased,7
UMLS:C0020473_hyperlipidemia,247,UMLS:C0235710_chest discomfort,6
UMLS:C0020473_hyperlipidemia,247,UMLS:C0392680_shortness of breath,5
UMLS:C0020473_hyperlipidemia,247,UMLS:C0392701_giddy mood,4
UMLS:C0020473_hyperlipidemia,247,UMLS:C0086439_hypokinesia,3
UMLS:C0020473_hyperlipidemia,247,UMLS:C0018991_hemiplegia,2
UMLS:C0020473_hyperlipidemia,247,UMLS:C0012833_dizziness,1
UMLS:C0005586_bipolar disorder,241,UMLS:C0424000_feeling suicidal,28
UMLS:C0005586_bipolar disorder,241,UMLS:C0455769_energy increased,27
UMLS:C0005586_bipolar disorder,241,UMLS:C0438696_suicidal,26
UMLS:C0005586_bipolar disorder,241,UMLS:C0022107_irritable mood,25
UMLS:C0005586_bipolar disorder,241,UMLS:C0085631_agitation,24
UMLS:C0005586_bipolar disorder,241,UMLS:C0557075_has religious belief,23
UMLS:C0005586_bipolar disorder,241,UMLS:C0578859_disturbed family,22
UMLS:C0005586_bipolar disorder,241,UMLS:C0233762_hallucinations auditory,21
UMLS:C0005586_bipolar disorder,241,UMLS:C0424068_verbal auditory hallucinations,20
UMLS:C0005586_bipolar disorder,241,UMLS:C0424109_weepiness,19
UMLS:C0005586_bipolar disorder,241,UMLS:C0424295_behavior hyperactive,18
UMLS:C0005586_bipolar disorder,241,UMLS:C0007398_catatonia,17
UMLS:C0005586_bipolar disorder,241,UMLS:C0150041_feeling hopeless,16
UMLS:C0005586_bipolar disorder,241,UMLS:C0233481_worry,15
UMLS:C0005586_bipolar disorder,241,UMLS:C0917801_sleeplessness,14
UMLS:C0005586_bipolar disorder,241,UMLS:C0917799_hypersomnia,13
UMLS:C0005586_bipolar disorder,241,UMLS:C1299586_difficulty,12
UMLS:C0005586_bipolar disorder,241,UMLS:C0233763_hallucinations visual,11
UMLS:C0005586_bipolar disorder,241,UMLS:C0020458_hyperhidrosis disorder,10
UMLS:C0005586_bipolar disorder,241,UMLS:C0026961_mydriasis,9
UMLS:C0005586_bipolar disorder,241,UMLS:C0234133_extrapyramidal sign,8
UMLS:C0005586_bipolar disorder,241,UMLS:C0240233_loose associations,7
UMLS:C0005586_bipolar disorder,241,UMLS:C0728899_intoxication,6
UMLS:C0005586_bipolar disorder,241,UMLS:C0424230_motor retardation,5
UMLS:C0005586_bipolar disorder,241,UMLS:C0237154_homelessness,4
UMLS:C0005586_bipolar disorder,241,UMLS:C0312422_blackout,3
UMLS:C0005586_bipolar disorder,241,UMLS:C0040822_tremor,2
UMLS:C0005586_bipolar disorder,241,UMLS:C0392674_exhaustion,1
UMLS:C0028754_obesity,228,UMLS:C0030193_pain,13
UMLS:C0028754_obesity,228,UMLS:C0007398_catatonia,12
UMLS:C0028754_obesity,228,UMLS:C0037384_snore,11
UMLS:C0028754_obesity,228,UMLS:C0008031_pain chest,10
UMLS:C0028754_obesity,228,UMLS:C0429091_r wave feature,9
UMLS:C0028754_obesity,228,UMLS:C0557075_has religious belief,8
UMLS:C0028754_obesity,228,UMLS:C0392680_shortness of breath,7
UMLS:C0028754_obesity,228,UMLS:C0015672_fatigue,6
UMLS:C0028754_obesity,228,UMLS:C0557875_tired,5
UMLS:C0028754_obesity,228,UMLS:C0497406_overweight,4
UMLS:C0028754_obesity,228,UMLS:C0232257_systolic murmur,3
UMLS:C0028754_obesity,228,UMLS:C0344315_mood depressed,2
UMLS:C0028754_obesity,228,UMLS:C0013491_ecchymosis,1
UMLS:C0022116_ischemia,225,UMLS:C0013144_drowsiness,14
UMLS:C0022116_ischemia,226,UMLS:C0234450_sleepy,13
UMLS:C0022116_ischemia,226,UMLS:C0008031_pain chest,12
UMLS:C0022116_ischemia,226,UMLS:C0002962_angina pectoris,11
UMLS:C0022116_ischemia,226,UMLS:C0438716_pressure chest,10
UMLS:C0022116_ischemia,226,UMLS:C0235710_chest discomfort,9
UMLS:C0022116_ischemia,226,UMLS:C0392680_shortness of breath,8
UMLS:C0022116_ischemia,226,UMLS:C0013404_dyspnea,7
UMLS:C0022116_ischemia,226,UMLS:C0232201_sinus rhythm,6
UMLS:C0022116_ischemia,226,UMLS:C0428977_bradycardia,5
UMLS:C0022116_ischemia,226,UMLS:C0700590_sweating increased,4
UMLS:C0022116_ischemia,226,UMLS:C0034642_rale,3
UMLS:C0022116_ischemia,226,UMLS:C0231221_asymptomatic,2
UMLS:C0022116_ischemia,226,UMLS:C0003123_anorexia,1
UMLS:C1623038_cirrhosis,218,UMLS:C0003962_ascites,12
UMLS:C1623038_cirrhosis,218,UMLS:C0085639_fall,11
UMLS:C1623038_cirrhosis,218,UMLS:C0038002_splenomegaly,10
UMLS:C1623038_cirrhosis,218,UMLS:C0033774_pruritus,9
UMLS:C1623038_cirrhosis,218,UMLS:C0000737_pain abdominal,8
UMLS:C1623038_cirrhosis,218,UMLS:C1269955_tumor cell invasion,7
UMLS:C1623038_cirrhosis,218,UMLS:C0000731_distended abdomen,6
UMLS:C1623038_cirrhosis,218,UMLS:C0221198_lesion,5
UMLS:C1623038_cirrhosis,218,UMLS:C0578150_hemodynamically stable,4
UMLS:C1623038_cirrhosis,218,UMLS:C0744492_guaiac positive,3
UMLS:C1623038_cirrhosis,218,UMLS:C0234233_sore to touch,2
UMLS:C1623038_cirrhosis,218,UMLS:C0151706_bleeding of vagina,1
UMLS:C0015230_exanthema,208,UMLS:C0015967_fever,15
UMLS:C0015230_exanthema,208,UMLS:C0033774_pruritus,14
UMLS:C0015230_exanthema,208,UMLS:C0332573_macule,13
UMLS:C0015230_exanthema,208,UMLS:C0221198_lesion,12
UMLS:C0015230_exanthema,208,UMLS:C0332575_redness,11
UMLS:C0015230_exanthema,208,UMLS:C0018681_headache,10
UMLS:C0015230_exanthema,208,UMLS:C0277797_apyrexial,9
UMLS:C0015230_exanthema,208,UMLS:C0003862_arthralgia,8
UMLS:C0015230_exanthema,208,UMLS:C0038999_swelling,7
UMLS:C0015230_exanthema,208,UMLS:C0041834_erythema,6
UMLS:C0015230_exanthema,208,UMLS:C0085636_photophobia,5
UMLS:C0015230_exanthema,208,UMLS:C0085593_chill,4
UMLS:C0015230_exanthema,208,UMLS:C1384489_scratch marks,3
UMLS:C0015230_exanthema,208,UMLS:C0030193_pain,2
UMLS:C0015230_exanthema,208,UMLS:C0221150_painful swallowing,1
UMLS:C0005001_benign prostatic hypertrophy,192,UMLS:C0856054_mental status changes,9
UMLS:C0005001_benign prostatic hypertrophy,192,UMLS:C0006625_cachexia,8
UMLS:C0005001_benign prostatic hypertrophy,192,UMLS:C0312422_blackout,7
UMLS:C0005001_benign prostatic hypertrophy,192,UMLS:C0149746_orthostasis,6
UMLS:C0005001_benign prostatic hypertrophy,192,UMLS:C0085619_orthopnea,5
UMLS:C0005001_benign prostatic hypertrophy,192,UMLS:C0028081_night sweat,4
UMLS:C0005001_benign prostatic hypertrophy,192,UMLS:C0476273_distress respiratory,3
UMLS:C0005001_benign prostatic hypertrophy,192,UMLS:C0003123_anorexia,2
UMLS:C0005001_benign prostatic hypertrophy,192,UMLS:C0013362_dysarthria,1
UMLS:C0022660_kidney failure acute,186,UMLS:C0020461_hyperkalemia,10
UMLS:C0022660_kidney failure acute,186,UMLS:C0020649_hypotension,9
UMLS:C0022660_kidney failure acute,186,UMLS:C0020598_hypocalcemia result,8
UMLS:C0022660_kidney failure acute,186,UMLS:C0028961_oliguria,7
UMLS:C0022660_kidney failure acute,186,UMLS:C0578150_hemodynamically stable,6
UMLS:C0022660_kidney failure acute,186,UMLS:C0004093_asthenia,5
UMLS:C0022660_kidney failure acute,186,UMLS:C0020672_hypothermia natural,4
UMLS:C0022660_kidney failure acute,186,UMLS:C0011991_diarrhea,3
UMLS:C0022660_kidney failure acute,186,UMLS:C0019080_haemorrhage,2
UMLS:C0022660_kidney failure acute,186,UMLS:C0241526_unresponsiveness,1
UMLS:C0026266_mitral valve insufficiency,186,UMLS:C0392680_shortness of breath,14
UMLS:C0026266_mitral valve insufficiency,186,UMLS:C0231807_dyspnea on exertion,13
UMLS:C0026266_mitral valve insufficiency,186,UMLS:C0231221_asymptomatic,12
UMLS:C0026266_mitral valve insufficiency,186,UMLS:C0086439_hypokinesia,11
UMLS:C0026266_mitral valve insufficiency,186,UMLS:C0013404_dyspnea,10
UMLS:C0026266_mitral valve insufficiency,186,UMLS:C0039070_syncope,9
UMLS:C0026266_mitral valve insufficiency,186,UMLS:C0205400_thicken,8
UMLS:C0026266_mitral valve insufficiency,186,UMLS:C0238705_left atrial hypertrophy,7
UMLS:C0026266_mitral valve insufficiency,186,UMLS:C0030252_palpitation,6
UMLS:C0026266_mitral valve insufficiency,186,UMLS:C0015672_fatigue,5
UMLS:C0026266_mitral valve insufficiency,186,UMLS:C0042963_vomiting,4
UMLS:C0026266_mitral valve insufficiency,186,UMLS:C0030193_pain,3
UMLS:C0026266_mitral valve insufficiency,186,UMLS:C0018800_cardiomegaly,2
UMLS:C0026266_mitral valve insufficiency,186,UMLS:C0235710_chest discomfort,1
UMLS:C0003864_arthritis,179,UMLS:C0030193_pain,10
UMLS:C0003864_arthritis,179,UMLS:C0578150_hemodynamically stable,9
UMLS:C0003864_arthritis,179,UMLS:C0917801_sleeplessness,8
UMLS:C0003864_arthritis,179,UMLS:C0004093_asthenia,7
UMLS:C0003864_arthritis,179,UMLS:C0039070_syncope,6
UMLS:C0003864_arthritis,179,UMLS:C0038999_swelling,5
UMLS:C0003864_arthritis,179,UMLS:C0741302_atypia,4
UMLS:C0003864_arthritis,179,UMLS:C0427108_general unsteadiness,3
UMLS:C0003864_arthritis,179,UMLS:C0392680_shortness of breath,2
UMLS:C0003864_arthritis,179,UMLS:C0000731_distended abdomen,1
UMLS:C0006277_bronchitis,172,UMLS:C0010200_cough,1
UMLS:C0006277_bronchitis,172,UMLS:C0043144_wheezing,16
UMLS:C0006277_bronchitis,172,UMLS:C0392680_shortness of breath,15
UMLS:C0006277_bronchitis,172,UMLS:C0232292_chest tightness,14
UMLS:C0006277_bronchitis,172,UMLS:C0015967_fever,13
UMLS:C0006277_bronchitis,172,UMLS:C0242429_throat sore,12
UMLS:C0006277_bronchitis,172,UMLS:C0239134_productive cough,11
UMLS:C0006277_bronchitis,172,UMLS:C0019214_hepatosplenomegaly,10
UMLS:C0006277_bronchitis,172,UMLS:C0028081_night sweat,9
UMLS:C0006277_bronchitis,172,UMLS:C0019079_haemoptysis,8
UMLS:C0006277_bronchitis,172,UMLS:C0553668_labored breathing,7
UMLS:C0006277_bronchitis,172,UMLS:C1260880_snuffle,6
UMLS:C0006277_bronchitis,172,UMLS:C0239133_hacking cough,5
UMLS:C0006277_bronchitis,172,UMLS:C0013404_dyspnea,4
UMLS:C0006277_bronchitis,172,UMLS:C0085593_chill,3
UMLS:C0006277_bronchitis,172,UMLS:C0038450_stridor,2
UMLS:C0006277_bronchitis,172,UMLS:C0043096_decreased body weight,1
UMLS:C0018989_hemiparesis,171,UMLS:C0013362_dysarthria,19
UMLS:C0018989_hemiparesis,171,UMLS:C0030552_paresis,18
UMLS:C0018989_hemiparesis,171,UMLS:C0004093_asthenia,17
UMLS:C0018989_hemiparesis,171,UMLS:C0221470_aphagia,16
UMLS:C0018989_hemiparesis,171,UMLS:C0036572_seizure,15
UMLS:C0018989_hemiparesis,171,UMLS:C0234518_speech slurred,14
UMLS:C0018989_hemiparesis,171,UMLS:C0751495_focal seizures,13
UMLS:C0018989_hemiparesis,171,UMLS:C0018991_hemiplegia,12
UMLS:C0018989_hemiparesis,171,UMLS:C0423571_abnormal sensation,11
UMLS:C0018989_hemiparesis,171,UMLS:C0241526_unresponsiveness,10
UMLS:C0018989_hemiparesis,171,UMLS:C0085628_stupor,9
UMLS:C0018989_hemiparesis,170,UMLS:C0013144_drowsiness,8
UMLS:C0018989_hemiparesis,171,UMLS:C0234450_sleepy,7
UMLS:C0018989_hemiparesis,171,UMLS:C0231890_fremitus,6
UMLS:C0018989_hemiparesis,171,UMLS:C0271276_Stahli's line,5
UMLS:C0018989_hemiparesis,171,UMLS:C0677500_stinging sensation,4
UMLS:C0018989_hemiparesis,171,UMLS:C0522224_paralyse,3
UMLS:C0018989_hemiparesis,171,UMLS:C0009024_clonus,2
UMLS:C0018989_hemiparesis,171,UMLS:C0427055_facial paresis,1
UMLS:C0029456_osteoporosis,169,UMLS:C0242453_prostatism,14
UMLS:C0029456_osteoporosis,169,UMLS:C0085639_fall,13
UMLS:C0029456_osteoporosis,169,UMLS:C0019572_hirsutism,12
UMLS:C0029456_osteoporosis,169,UMLS:C0558361_sniffle,11
UMLS:C0029456_osteoporosis,169,UMLS:C0000731_distended abdomen,10
UMLS:C0029456_osteoporosis,169,UMLS:C0042571_vertigo,9
UMLS:C0029456_osteoporosis,169,UMLS:C0239832_numbness of hand,8
UMLS:C0029456_osteoporosis,169,UMLS:C0233565_bradykinesia,7
UMLS:C0029456_osteoporosis,169,UMLS:C0030193_pain,6
UMLS:C0029456_osteoporosis,169,UMLS:C0039070_syncope,5
UMLS:C0029456_osteoporosis,169,UMLS:C0848168_out of breath,4
UMLS:C0029456_osteoporosis,169,UMLS:C0277797_apyrexial,3
UMLS:C0029456_osteoporosis,169,UMLS:C0150045_urge incontinence,2
UMLS:C0029456_osteoporosis,169,UMLS:C0220870_lightheadedness,1
UMLS:C0007787_transient ischemic attack,168,UMLS:C0234518_speech slurred,17
UMLS:C0007787_transient ischemic attack,168,UMLS:C0013362_dysarthria,16
UMLS:C0007787_transient ischemic attack,168,UMLS:C0427055_facial paresis,15
UMLS:C0007787_transient ischemic attack,168,UMLS:C0004093_asthenia,14
UMLS:C0007787_transient ischemic attack,168,UMLS:C0151315_neck stiffness,13
UMLS:C0007787_transient ischemic attack,168,UMLS:C0042571_vertigo,12
UMLS:C0007787_transient ischemic attack,168,UMLS:C0028643_numbness,11
UMLS:C0007787_transient ischemic attack,168,UMLS:C0220870_lightheadedness,10
UMLS:C0007787_transient ischemic attack,168,UMLS:C0234133_extrapyramidal sign,9
UMLS:C0007787_transient ischemic attack,168,UMLS:C0271276_Stahli's line,8
UMLS:C0007787_transient ischemic attack,168,UMLS:C0344232_vision blurred,7
UMLS:C0007787_transient ischemic attack,168,UMLS:C0018681_headache,6
UMLS:C0007787_transient ischemic attack,168,UMLS:C0848277_room spinning,5
UMLS:C0007787_transient ischemic attack,168,UMLS:C0039070_syncope,4
UMLS:C0007787_transient ischemic attack,168,UMLS:C1299586_difficulty,3
UMLS:C0007787_transient ischemic attack,168,UMLS:C0423982_rambling speech,2
UMLS:C0007787_transient ischemic attack,168,UMLS:C0233844_clumsiness,1
UMLS:C0001418_adenocarcinoma,166,UMLS:C0577559_mass of body structure,13
