question_name|answers|exam_type|title|raw_question|processed_question|raw_correct_answer|processed_correct_answer
Câu 19|A. Cải cách kinh tế, xã hội.B. Duy tân để phát triển đất nước.C. Bạo lực để giành độc lập dân tộc.D. Đấu tranh chính trị kết hợp đấu tranh vũ trang.|exam grade 11|FILE_20210727_195732_ĐỀTHI-HỌC-KÌ-KÌ-II-2021|. Phan Bội Châu thực hiện chủ trương giái phóng dân tộc bằng con đường nào?|phan bội châu thực_hiện chủ_trương giái phóng dân_tộc bằng con đường nào|C . Bạo lực để giành độc lập dân tộc.|bạo_lực để giành độc_lập dân_tộc
Câu 20|A. Đánh đuổi giặc Pháp, giành độc lập, thiết lập một chính thể quân chủ lập hiến ở Việt Nam.B. Duy tân làm cho đất nước cường thịnh để giành độc lập.C. Đánh đuổi giặc Pháp, đánh đổ phong kiến, hành lập chính thể cộng hòa.D. Đánh đổ ngôi vua, phát triển lên tư bản chủ nghĩa.|exam grade 11|FILE_20210727_195732_ĐỀTHI-HỌC-KÌ-KÌ-II-2021|. Phan Bội Châu và các đồng chí của ông chủ trương thành lập Hội Duy tân nhằm mục đích gì?|phan bội châu và các đồng_chí của ông chủ_trương thành_lập hội duy_tân nhằm mục_đích gì|A . Đánh đuổi giặc Pháp, giành độc lập, thiết lập một chính thể quân chủ lập hiến ở Việt Nam.|đánh_đuổi giặc pháp giành độc_lập thiết_lập một chính_thể quân_chủ lập_hiến ở việt_nam
Câu 21|A. Duy tân.       B. Đông du.C. bạo động chống Pháp.       D. “Chấn hung nội hóa”.|exam grade 11|FILE_20210727_195732_ĐỀTHI-HỌC-KÌ-KÌ-II-2021|. Để thực hiện chủ trương cầu viện Nhật Bản giúp đỡ đánh Pháp, Phan Bội Châu đã tổ chức phong trào|để thực_hiện chủ_trương cầu_viện nhật bản giúp_đỡ đánh pháp phan bội châu đã tổ_chức phong_trào|B . Đông du.|đông_du
Câu 22|A. Phụ huynh đòi đưa con em về nước trước thời hạn.B. Đã hết thời gian đào tạo, học sinh phải về nước.C. Phan Bội Châu thấy không có tác dụng nên đưa học sinh về nước.D. Chính phủ Nhật Bản câu kết với thực dân Pháp ở Đông Dương, trục xuất số lưu học sinh Việt Nam, kể cả Phan Bội Châu.|exam grade 11|FILE_20210727_195732_ĐỀTHI-HỌC-KÌ-KÌ-II-2021|. Vì sao phong trào Đông du tan rã (1908)?|vì_sao phong_trào đông_du tan_rã 1908|D . Chính phủ Nhật Bản câu kết với thực dân Pháp ở Đông Dương, trục xuất số lưu học sinh Việt Nam, kể cả Phan Bội Châu.|chính_phủ nhật bản câu_kết với thực_dân pháp ở đông dương trục_xuất số lưu học_sinh việt nam kể_cả phan bội châu
Câu 23|A. Trung Quốc .     B. Triều Tiên.C. Về nước.       D. Lào.|exam grade 11|FILE_20210727_195732_ĐỀTHI-HỌC-KÌ-KÌ-II-2021|. Sau thời gian ở Nhật Bản, Phan Bội Châu đã đến đâu để tiếp tục hoạt động?|sau thời_gian ở nhật bản phan bội châu đã đến đâu để tiếp_tục hoạt_động|A . Trung Quốc .|trung_quốc
Câu 24|A. Trung Quốc gắn với Việt Nam nên dễ dàng về nước hoạt động.B. Ảnh hưởng tư tưởng của các cuộc cải cách ở Trung Quốc.C. Cách mạng Tân Hợi (1911) bùng nổ, triều đình Mãn Thanh bị lật đổ, Chính phủ Dân quốc được thành lập, thi hành nhiều chính sách tiến bộ.D. Do Trung Quốc không phải là thuộc địa của thực dân Pháp.|exam grade 11|FILE_20210727_195732_ĐỀTHI-HỌC-KÌ-KÌ-II-2021|. Tại sao Phan Bội Châu lại quay trở lại hoạt động ở Trung Quốc?|tại_sao phan bội châu lại quay trở_lại hoạt_động ở trung_quốc|C . Cách mạng Tân Hợi (1911) bùng nổ, triều đình Mãn Thanh bị lật đổ, Chính phủ Dân quốc được thành lập, thi hành nhiều chính sách tiến bộ.|cách_mạng tân hợi 1911 bùng_nổ triều_đình mãn thanh bị lật_đổ chính_phủ dân quốc được thành_lập thi_hành nhiều chính_sách tiến_bộ
Câu 25|A. Tập hợp các lực lượng yêu nước của Việ Nam đang hoạt động ở Trung Quốc.B. Chuẩn bị lực lượng để tiến hành bạo động giành độc lập.C. Đào tạo đội ngũ cán bộ, đưa về nước hoạt động.D. Đánh đuổi giặc Pháp, khôi phục nước Việt Nam, thành lập nước Cộng hòa Dân quốc Việt Nam.|exam grade 11|FILE_20210727_195732_ĐỀTHI-HỌC-KÌ-KÌ-II-2021|. Năm 1912, Phan Bội Châu thành lập Việt Nam Quang phục hội ở Quảng Châu (Trung Quốc) nhằm mục đích gì?|năm 1912 phan bội châu thành_lập việt nam quang phục hội ở quảng_châu trung_quốc nhằm mục_đích gì|D . Đánh đuổi giặc Pháp, khôi phục nước Việt Nam, thành lập nước Cộng hòa Dân quốc Việt Nam.|đánh_đuổi giặc pháp khôi_phục nước việt nam thành_lập nước cộng hòa dân quốc việt_nam
Câu 26|A. Tổ chức tuyên truyền vận động đối với quần chúng cách mạng trong nước.B. Mở lớp huấn luyện đội ngũ cán bộ tại Quảng Châu.C. Cử người bí mật về nước trừ khử những tên thực dân đầu sỏ, kể cả Toàn quyền An-be Xa-rô và những tên tay sai đắc lực.D. Tiến hành bạo động vũ trang ở trong nước.|exam grade 11|FILE_20210727_195732_ĐỀTHI-HỌC-KÌ-KÌ-II-2021|. Việt Nam Quang phục hội đã có những hoạt động gì để gây tiếng vang trong nước và thức tỉnh đồng bào?|việt nam quang phục hội đã có những hoạt_động gì để gây tiếng_vang trong nước và thức_tỉnh đồng_bào|C. Cử người bí mật về nước trừ khử những tên thực dân đầu sỏ, kể cả Toàn quyền An-be Xa-rô và những tên tay sai đắc lực.|cử người bí_mật về nước trừ_khử những tên thực_dân đầu_sỏ kể_cả toàn_quyền anbe xarô và những tên tay_sai đắc_lực
Câu 27|A. tuyên truyền vận động được quần chúng nhân dân ở trong nướcB. mở được nhiều lớp huấn luyện đội ngũ cán bộ tại Quảng ChâuC. khuấy động được dư luận trong và ngoài nướcD. kích động được tinh thần yêu nước của nhân dân ta|exam grade 11|FILE_20210727_195732_ĐỀTHI-HỌC-KÌ-KÌ-II-2021|. Kết quả hoạt động buổi đầu của Việt Nam Quang phục hội là|kết_quả hoạt_động buổi đầu của việt nam quang phục hội là|C . khuấy động được dư luận trong và ngoài nước|khuấy_động được dư_luận trong và ngoài nước
Câu 28|A. Nhật Bản là nước “đồng văn, đồng chủng”, là nước duy nhất ở châu Á thoát khỏi số phận một nước thuộc địa.B. Sau Cải cách Minh Trị, Nhật Bản trở thành nước tư bản hùng mạnh.C. Nhật Bản dã đánh thắng đế quốc Nga (1905).D. Nhật Bản đã đề ra thuyết “Đại Đông Á” nhằm mở rộng ảnh hưởng ở khu vực Đông Á, trong đó có Việt Nam.|exam grade 11|FILE_20210727_195732_ĐỀTHI-HỌC-KÌ-KÌ-II-2021|. Ý nào không phải là lí do mà vào những năm đầu thế kỉ XX một số nhà yêu nước Việt Nam muốn đi theo con đường cứu nước của Nhật Bản?|ý nào không phải là lí_do mà vào những năm đầu thế_kỉ xx một_số nhà yêu nước việt nam muốn đi theo con đường cứu nước của nhật_bản|D . Nhật Bản đã đề ra thuyết “Đại Đông Á” nhằm mở rộng ảnh hưởng ở khu vực Đông Á, trong đó có Việt Nam.|nhật bản đã đề ra thuyết “ đại đông á ” nhằm mở_rộng ảnh_hưởng ở khu_vực đông á trong đó có việt_nam
